OBEC|OKRSOK|PS|P_HL_PS|P_HL_PS_PCT|P_VPH_PS|P_VPH_PS_PCT
500011|1|1|1|0,17|1|100,00
500011|1|2|17|2,95|12|70,58
500011|1|3|53|9,20|35|66,03
500011|1|4|58|10,06|49|84,48
500011|1|6|18|3,12|15|83,33
500011|1|7|2|0,34|0|0,00
500011|1|9|13|2,25|6|46,15
500011|1|10|1|0,17|1|100,00
500011|1|11|167|28,99|138|82,63
500011|1|12|32|5,55|29|90,62
500011|1|15|19|3,29|13|68,42
500011|1|17|13|2,25|10|76,92
500011|1|18|2|0,34|2|100,00
500011|1|19|130|22,56|104|80,00
500011|1|24|49|8,50|41|83,67
500011|1|25|1|0,17|0|0,00
500011|2|1|1|0,17|1|100,00
500011|2|2|16|2,82|11|68,75
500011|2|3|40|7,05|27|67,50
500011|2|4|40|7,05|35|87,50
500011|2|6|33|5,82|26|78,78
500011|2|9|25|4,40|21|84,00
500011|2|11|134|23,63|123|91,79
500011|2|12|25|4,40|23|92,00
500011|2|13|1|0,17|0|0,00
500011|2|15|10|1,76|5|50,00
500011|2|17|20|3,52|18|90,00
500011|2|18|4|0,70|1|25,00
500011|2|19|130|22,92|110|84,61
500011|2|20|1|0,17|1|100,00
500011|2|24|84|14,81|74|88,09
500011|2|25|3|0,52|2|66,66
500011|3|1|1|0,18|1|100,00
500011|3|2|15|2,78|9|60,00
500011|3|3|36|6,69|29|80,55
500011|3|4|50|9,29|43|86,00
500011|3|5|1|0,18|1|100,00
500011|3|6|31|5,76|29|93,54
500011|3|7|1|0,18|0|0,00
500011|3|9|18|3,34|17|94,44
500011|3|11|144|26,76|119|82,63
500011|3|12|27|5,01|22|81,48
500011|3|15|16|2,97|14|87,50
500011|3|17|17|3,15|14|82,35
500011|3|18|2|0,37|1|50,00
500011|3|19|115|21,37|102|88,69
500011|3|24|57|10,59|50|87,71
500011|3|25|7|1,30|6|85,71
500011|4|1|3|0,49|2|66,66
500011|4|2|17|2,82|13|76,47
500011|4|3|44|7,32|31|70,45
500011|4|4|27|4,49|22|81,48
500011|4|5|1|0,16|0|0,00
500011|4|6|32|5,32|27|84,37
500011|4|7|4|0,66|4|100,00
500011|4|9|16|2,66|11|68,75
500011|4|11|200|33,27|173|86,50
500011|4|12|50|8,31|41|82,00
500011|4|13|1|0,16|1|100,00
500011|4|15|32|5,32|30|93,75
500011|4|17|15|2,49|14|93,33
500011|4|18|1|0,16|1|100,00
500011|4|19|117|19,46|103|88,03
500011|4|22|2|0,33|2|100,00
500011|4|24|38|6,32|31|81,57
500011|4|25|1|0,16|1|100,00
500011|5|2|19|3,16|14|73,68
500011|5|3|51|8,50|42|82,35
500011|5|4|31|5,16|21|67,74
500011|5|5|1|0,16|1|100,00
500011|5|6|45|7,50|35|77,77
500011|5|9|12|2,00|10|83,33
500011|5|10|2|0,33|2|100,00
500011|5|11|144|24,00|126|87,50
500011|5|12|67|11,16|54|80,59
500011|5|15|79|13,16|72|91,13
500011|5|17|16|2,66|15|93,75
500011|5|18|3|0,50|2|66,66
500011|5|19|80|13,33|69|86,25
500011|5|20|1|0,16|0|0,00
500011|5|24|49|8,16|44|89,79
500011|6|1|2|0,27|2|100,00
500011|6|2|19|2,60|15|78,94
500011|6|3|80|10,95|57|71,25
500011|6|4|54|7,39|45|83,33
500011|6|6|45|6,16|32|71,11
500011|6|7|2|0,27|1|50,00
500011|6|9|17|2,32|11|64,70
500011|6|10|1|0,13|1|100,00
500011|6|11|194|26,57|163|84,02
500011|6|12|71|9,72|58|81,69
500011|6|14|1|0,13|1|100,00
500011|6|15|19|2,60|16|84,21
500011|6|17|20|2,73|17|85,00
500011|6|18|5|0,68|5|100,00
500011|6|19|103|14,10|86|83,49
500011|6|20|1|0,13|1|100,00
500011|6|21|1|0,13|1|100,00
500011|6|22|3|0,41|3|100,00
500011|6|24|89|12,19|78|87,64
500011|6|25|3|0,41|2|66,66
500011|7|2|12|3,11|10|83,33
500011|7|3|36|9,35|25|69,44
500011|7|4|14|3,63|9|64,28
500011|7|6|25|6,49|23|92,00
500011|7|7|1|0,25|1|100,00
500011|7|9|4|1,03|3|75,00
500011|7|11|90|23,37|79|87,77
500011|7|12|38|9,87|33|86,84
500011|7|15|34|8,83|29|85,29
500011|7|17|17|4,41|15|88,23
500011|7|18|6|1,55|4|66,66
500011|7|19|74|19,22|61|82,43
500011|7|22|2|0,51|1|50,00
500011|7|24|30|7,79|25|83,33
500011|7|25|2|0,51|2|100,00
500011|8|2|10|2,15|9|90,00
500011|8|3|47|10,12|42|89,36
