PS|PC_ZPH|PC_HL|P_HL_KAN|P_HL_KAN_PCT|KANDIDAT
3|1|1|106333|59,32|1
3|2|2|64689|36,09|1
3|3|8|29979|16,72|1
3|4|5|28773|16,05|1
3|5|3|21322|11,89|1
3|6|15|18473|10,30|1
3|7|4|12615|7,03|1
3|8|14|12477|6,96|1
3|9|9|10094|5,63|1
3|10|10|8968|5,00|1
3|11|12|7798|4,35|1
3|12|6|7508|4,18|1
3|13|13|7162|3,99|1
3|14|11|5740|3,20|0
3|15|7|4001|2,23|0
3|16|16|3635|2,02|0
3|17|17|1245|0,69|0
3|18|18|1238|0,69|0
3|19|19|1863|1,03|0
3|20|20|1821|1,01|0
3|21|21|1044|0,58|0
3|22|22|3749|2,09|0
3|23|23|4213|2,35|0
3|24|24|961|0,53|0
3|25|25|1121|0,62|0
3|26|26|741|0,41|0
3|27|27|1594|0,88|0
3|28|28|1426|0,79|0
3|29|29|530|0,29|0
3|30|30|730|0,40|0
3|31|31|921|0,51|0
3|32|32|1217|0,67|0
3|33|33|1365|0,76|0
3|34|34|891|0,49|0
3|35|35|644|0,35|0
3|36|36|475|0,26|0
3|37|37|963|0,53|0
3|38|38|1002|0,55|0
3|39|39|1855|1,03|0
3|40|40|1448|0,80|0
3|41|41|632|0,35|0
3|42|42|808|0,45|0
3|43|43|477|0,26|0
3|44|44|712|0,39|0
3|45|45|1649|0,92|0
3|46|46|209|0,11|0
3|47|47|475|0,26|0
3|48|48|801|0,44|0
3|49|49|762|0,42|0
3|50|50|439|0,24|0
3|51|51|796|0,44|0
3|52|52|513|0,28|0
3|53|53|684|0,38|0
3|54|54|365|0,20|0
3|55|55|623|0,34|0
3|56|56|832|0,46|0
3|57|57|431|0,24|0
3|58|58|674|0,37|0
3|59|59|217|0,12|0
3|60|60|578|0,32|0
3|61|61|879|0,49|0
3|62|62|611|0,34|0
3|63|63|219|0,12|0
3|64|64|331|0,18|0
3|65|65|322|0,18|0
3|66|66|442|0,24|0
3|67|67|181|0,10|0
3|68|68|378|0,21|0
3|69|69|271|0,15|0
3|70|70|419|0,23|0
3|71|71|327|0,18|0
3|72|72|236|0,13|0
3|73|73|388|0,21|0
3|74|74|243|0,13|0
3|75|75|319|0,17|0
3|76|76|293|0,16|0
3|77|77|440|0,24|0
3|78|78|493|0,27|0
3|79|79|494|0,27|0
3|80|80|150|0,08|0
3|81|81|77|0,04|0
3|82|82|603|0,33|0
3|83|83|158|0,08|0
3|84|84|77|0,04|0
3|85|85|261|0,14|0
3|86|86|116|0,06|0
3|87|87|198|0,11|0
3|88|88|252|0,14|0
3|89|89|99|0,05|0
3|90|90|182|0,10|0
3|91|91|333|0,18|0
3|92|92|96|0,05|0
