PS|PC_HL|MENO|PRIEZVISKO|TITUL|VEK|ZAMESTNANIE|TP_OBEC|POZNAMKA
1|1|Jozef|Sásik|Ing.|61|predseda SĽS Andreja Hlinku|Banská Bystrica|
1|2|Andrej|Trnovec|RNDr.|56|odborný pracovník|Bratislava|
1|3|Marián|Kňažko|Ing.|55|stredoškolský učiteľ|Považská Bystrica|
1|4|Richard|Burkovský|Ing.|55|ekológ - projektant pre životné prostredie|Banská Bystrica|
1|5|Miroslav|Faktor|Ing., PhD.|57|výskumník - vynálezca|Žilina|
1|6|Viliam|Zopp|Ing.|81|tajomník Slovenskej ľudovej strany A. Hlinku|Bratislava|
1|7|Martin|Bálik||30|bezpečnostný pracovník|Banská Štiavnica|
1|8|Vladimír|Rosinský||59|obchodník|Banská Bystrica|
1|9|Milan|Prašovský||44|bezpečnostný pracovník|Banská Bystrica|
1|10|Vladimír|Bizoň|Ing.|66|pilot vo výslužbe|Ludanice|
1|11|Janka|Slobodníková||54|živnostníčka|Priechod|
1|12|Martin|Gábor|Ing.|49|lesný inžinier - pestovný technik|Košice|
1|13|Anna|Jablonovská||67|dôchodkyňa|Poprad|
1|14|Ľubomír|Zubčák|Ing.|62|odborný lesný hospodár|Zvolen|
1|15|Juraj|Galbavý|Ing.|47|lesný inžinier - projektant|Bratislava|
1|16|Peter|Halás|Ing.|62|dôchodca|Podbrezová|
1|17|Dušan|Ďuriška|Ing.|58|vedúci projektant|Kameňany|
1|18|Igor|Ďurana||56|živnostník|Banská Bystrica|
1|19|Juraj|Pivka|Ing.|72|geodet|Banská Bystrica|
1|20|Ivan|Ťapušík|Ing.|48|projektant - taxátor|Nitra|
1|21|Roman|Štrba|Mgr.|54|manažér|Banská Bystrica|
1|22|Ondrej|Drugda|Ing.|74|znalec v odbore lesníctvo|Lučenec|
1|23|František|Kelemen|Ing.|60|samostatný projektant|Lučenec|
1|24|Ján|Dilík||72|školský informátor|Banská Bystrica|
1|25|Eduard|Samlek||71|spisovateľ|Tlmače|
1|26|Marta|Dilíková||67|domáca|Banská Bystrica|
1|27|Kristián|Korheľ||23|elektrotechnik|Blhovce|
1|28|Miroslav|Zemko|PhDr.|48|majiteľ chránenej dielne|Banská Bystrica|
1|29|Ondrej|Palanský||25|filmár|Banská Bystrica|
1|30|Ľubomír|Fabian||56|dôchodca|Tlmače|
1|31|Michal|Gubár||38|stavebný technik|Dolná Lehota|
1|32|Dušan|Slobodník||62|hudobný skladateľ|Priechod|
1|33|Ivan|Pokrívka||60|stavebný pracovník|Ostrý Grúň|
1|34|Ivan|Franko||52|štátny zamestnanec|Priechod|
1|35|Vojtech|Tóth||62|robotník|Orechová Potôň|
1|36|Jozef|Valovič||47|strojár|Častkovce|
1|37|Andrea|Macúriková||46|aranžérka|Ratkovská Suchá|
1|38|Ján|Jambrich||61|technik|Banská Bystrica|
1|39|Jozef|Katreniak||61|montážny technik|Banská Bystrica|
2|1|Tomáš|Drucker|JUDr. Ing.|41|manažér|Bratislava|
2|2|Lucia|Kurilovská|Dr.h.c. prof. JUDr., PhD.|52|rektorka, vysokoškolská pedagogička|Bratislava|
2|3|Michal|Sýkora||66|starosta obce Štrba|Štrba|
2|4|Katarína|Cséfalvayová|Ing., PhD.|34|vysokoškolská pedagogička, poslankyňa Národnej rady Slovenskej republiky|Dunajská Streda|
2|5|Branislav|Becík|Ing., PhD.|42|starosta obce Dvory nad Žitavou|Dvory nad Žitavou|
2|6|Anna|Ghannamová|Mgr.|50|riaditeľka centra sociálnych služieb|Bratislava|
2|7|Rudolf|Kusý|Mgr.|43|starosta mestskej časti Bratislava - Nové Mesto|Bratislava|
2|8|Tomáš|Kuča|Ing.|42|odborník na mediálnu komunikáciu, novinár|Zlaté Moravce|
2|9|Martin|Fedor|Mgr., MEconSc.|45|poslanec Národnej rady Slovenskej republiky|Trenčianske Teplice|
2|10|Peter|Kresák|doc. JUDr., CSc.|65|vysokoškolský učiteľ, právnik|Bratislava|
2|11|Zuzana|Dolinková|JUDr.|37|právnička, výkonná riaditeľka Zväzu ambulantných poskytovateľov|Bratislava|
2|12|Miroslav|Kočan|Mgr.|47|manažér|Bratislava|
2|13|Radomír|Šalitroš|Ing., MIM|38|ekonóm|Košice|
2|14|Miroslav|Kollár|Ing. Mgr., MPH|70|vysokoškolský učiteľ, občiansky aktivista|Bratislava|
2|15|Marek|Dragula|Ing.|44|súkromný podnikateľ|Trebišov|
2|16|Otokar|Klein|PhDr. Mgr. art.|45|primátor mesta Nové Zámky|Nové Zámky|
2|17|Jaroslav|Kašuba|Mgr.|38|manažér|Nová Bystrica|
2|18|Michal|Bobela||41|mladý farmár|Pichne|
2|19|Viktor|Wiedermann|Ing.|50|primátor mesta Ilava|Ilava|
2|20|Samuel|Vavrík|Ing.|34|manažér|Piešťany|
